video_id,label,modality,exists,confidence,reason
-3Kv4fdm7Uk_000030,playing flute,A,False,1.0,"The audio is clearly a steelpan playing, not a flute."
-3Kv4fdm7Uk_000030,playing sitar,V,False,1.0,"There is no sitar in the video; the girl is playing a steelpan, and there are standard guitars hanging on the wall."
--i-y1v8Hy8_000000,"female speech, woman speaking",AV,True,1.0,A female speaker is visible and audible talking and singing to the camera throughout the entire clip.
-0jeONf82dE_000021,horse neighing,AV,True,1.0,"At the very beginning of the video, a horse is clearly visible, and the distinct sound of it snorting/neighing is audible."
-2sE5CH8Wb8_000030,printer printing,AV,False,1.0,"There is no printer shown in the video, and the audio consists of mechanical machinery humming and lifting, not a printer printing."
-AIzKe9X0hA_000006,"subway, metro, underground",A,False,0.9,"There is no sound of a subway, metro, or underground train in the audio; only general outdoor street noise is audible."
-AIzKe9X0hA_000006,wind rustling leaves,AV,False,0.8,"Although there are some leaves visible on the left side of the screen, there is no audible wind rustling sound, nor is there significant visible movement of leaves caused by wind."
-COelgvUEW4_000016,playing drum kit,V,False,1.0,"There is a piano being played in the background, but there is no drum kit visible or being played in the video."
-K1BRF6qng8_000030,vacuum cleaner cleaning floors,A,False,1.0,The audio consists solely of a woman singing with some background musical accompaniment; there is no sound of a vacuum cleaner operating.
-cm0voL_GRM_000322,cell phone buzzing,AV,False,1.0,"There is no cell phone visible in the video, nor is there any cell phone buzzing sound heard."
-7IhwezUrUA_000590,chopping wood,AV,False,1.0,There is no action or sound of chopping wood in the video. The video shows someone working under a car.
-PvlrLjIAYo_000009,bird squawking,AV,True,0.95,"The video shows two green parakeets/budgerigars actively chirping and making bird squawking/chattering sounds, with their beak movements visible in sync with the audio."
-3YWuPXHknk_000030,opening or closing car doors,AV,False,1.0,There is no visual or auditory occurrence of a car door opening or closing in the video.
-oOARU0JwWE_000153,playing acoustic guitar,A,True,0.9,The background music features a clear and prominent acoustic guitar playing chords throughout the video.
-1pRmoJIGQc_000010,car engine starting,AV,False,1.0,The engine is already idling at the beginning of the video; there is no starting sequence shown or heard.
-1pRmoJIGQc_000010,car passing by,A,False,1.0,"The only audio is from the stationary car engine being revved, no external cars are heard passing by."
-1pRmoJIGQc_000010,"engine accelerating, revving, vroom",AV,True,1.0,"The engine is audibly revved, and the engine block can be seen vibrating and shifting in response to the acceleration."
-LxtesAXWIU_000032,cricket chirping,A,False,1.0,The audio contains only the sounds of ocean waves and wind; there are no crickets or other insects chirping.
-JBH9j7-h8U_000030,goose honking,AV,False,1.0,There is no goose honking sound audible in the video clip; only a gunshot and a person coughing can be heard.
-crF-0Z7l3o_000447,playing trombone,AV,False,1.0,"The instrument shown and heard in the video is a bassoon, not a trombone."
-RUIfdLiXdk_000045,singing bowl,A,True,0.8,"A resonant, metallic ringing sound characteristic of a singing bowl is heard throughout the video."
-DnZ_ZY3lgA_000160,playing snare drum,A,True,1.0,"From 00:06 to 00:10, a military snare drum is heard playing in the background as the title 'The First 24 Hours' appears on screen."
-fmmdkXn5YA_000210,crow cawing,AV,False,1.0,"There are no crows visible in the video, nor are there any crow cawing sounds present in the audio track of this television show clip."
