video_id,label,modality,label_correct,modality_correct,suggested_labels,suggested_modality,reason,cleanup_verdict,cleanup_reason
-0Zg_dXR_6I_000013,fire crackling,,False,False,"[{""label"": ""missile launch"", ""label_correct"": true, ""modality"": ""both""}]",both,"While fire is visible at the base of the rocket, the associated sound is a loud roar typical of a rocket engine, not the specific sound of fire crackling.",genuine,A rocket engine roar is a fundamentally different sound and event than the crackling of a fire.
-0pJqpNjft4_000267,car engine starting,,False,True,[],,There is no sound of a car engine starting in the video; the audio is dominated by cattle and wind.,genuine,"The car engine sound is completely absent from the clip, which is dominated by cattle and wind."
--U7joUcTCo_000000,"male speech, man speaking",,False,True,"[{""label"": ""people belly laughing"", ""modality"": ""both""}, {""label"": ""people coughing"", ""modality"": ""both""}]",,"The individual in the video is laughing and coughing, but there is no actual speech or spoken words occurring in the clip.",genuine,"Vocalizations like laughing and coughing are distinct from speech, which requires spoken words."
-2sE5CH8Wb8_000030,printer printing,,False,False,"[{""label"": ""reversing beeps"", ""modality"": ""audible""}]",audible,"The video shows a forklift simulation lifting a pallet, and the sound is a repetitive high-pitched beep commonly used as a warning signal for machinery, not the sound of a printer.",genuine,A machinery warning beep is fundamentally different from the mechanical sound of a printer.
-3-4qmWSJXU_000030,car engine starting,,False,False,"[{""label"": ""thunder"", ""modality"": ""both""}]",both,"There is no engine starting in the video; however, there is a prominent lightning flash followed by a loud thunder clap at approximately 0:04.",genuine,Thunder is a completely different sound source and event than a car engine starting.
-2xiZDEuHd8_000030,pig oinking,,False,False,"[{""label"": ""people burping"", ""modality"": ""audible""}]",visible,"While cartoon pigs are visible, the audio has been edited to replace their natural oinking/snorting sounds with loud human burps.",genuine,"The sound has been replaced with a human burp, which is a fundamentally different sound source than an animal vocalization."
-2sOH8XovEE_000484,playing badminton,,False,True,"[{""label"": ""playing table tennis"", ""modality"": ""both""}]",,"The video shows players participating in table tennis matches, not badminton.",genuine,Table tennis is a fundamentally different sport than badminton.
-3YWuPXHknk_000030,opening or closing car doors,,False,True,"[{""label"": ""car engine starting"", ""modality"": ""both""}, {""label"": ""car engine idling"", ""modality"": ""both""}]",,There is no visual or audio evidence of car doors being opened or closed in this clip.,genuine,The action of opening or closing doors is completely absent from the clip.
-7sg--aJdrc_000049,chimpanzee pant-hooting,,False,False,"[{""label"": ""gibbon howling"", ""modality"": ""both""}]",both,"The animal in the video is a gibbon, and the vocalization matches a gibbon's howl, not a chimpanzee's pant-hoot.",genuine,"The label identifies the wrong animal species, which is a fundamental error."
-7IhwezUrUA_000590,chopping wood,,False,False,"[{""label"": ""male speech  man speaking"", ""modality"": ""audible""}]",audible,"The video shows a person performing mechanical work under a vehicle while narrating, not chopping wood.",genuine,The activity described by the label is completely absent from the clip.
-7tYmeOmsRg_000180,"female speech, woman speaking",,False,False,"[{""label"": ""people eating"", ""modality"": ""both""}, {""label"": ""lip smacking"", ""modality"": ""audible""}]",both,The woman is eating throughout the clip and does not speak at any point.,genuine,"The person is eating and not speaking, making the label factually incorrect."
-ANxUxvGASw_000010,train whistling,,False,False,"[{""label"": ""train wheels squealing"", ""modality"": ""audible""}]",audible,"The high-pitched sound heard is the metallic squealing of the train wheels against the tracks, not a whistle or horn.",genuine,"The sound source is fundamentally different, as wheel squeal is a mechanical friction sound, not a whistle."
-BftHoV-kXI_000168,"female speech, woman speaking",,False,False,"[{""label"": ""underwater bubbling"", ""modality"": ""both""}, {""label"": ""swimming"", ""modality"": ""both""}]",both,There is no audible or visible speech in the clip; the woman is underwater throughout the entire video blowing bubbles.,genuine,The labeled activity is completely absent as the person is underwater blowing bubbles.
-E5o64ACjm0_000017,electric grinder grinding,,False,True,"[{""label"": ""lathe spinning"", ""modality"": ""both""}]",,"The machine is a metal spinning machine, which is a specialized type of lathe, rather than an electric grinder.",genuine,The machine and process (lathe/spinning) are fundamentally different from a grinder.
-Cv3gOXEoxA_000040,chicken clucking,,False,False,"[{""label"": ""fox barking"", ""modality"": ""both""}, {""label"": ""dog barking"", ""modality"": ""audible""}]",both,"There are no clear chicken sounds in the clip. The primary animal vocalization is from a silver fox, with dogs heard barking in the background.",genuine,"The primary sound is from a different animal species (fox), and chickens are not present."
-FoTxwPOz3U_000000,people coughing,,False,True,"[{""label"": ""people running"", ""modality"": ""both""}, {""label"": ""people slurping"", ""modality"": ""both""}]",,There is no coughing heard in the audio; the prominent sounds are drinking and a child running.,genuine,The sound of coughing is entirely absent from the clip.
-GW1J75oAKU_000304,playing ukulele,,False,False,"[{""label"": ""playing violin  fiddle"", ""modality"": ""both""}]",both,"The instrument shown and heard is a fiddle (specifically a fretted fiddle), not a ukulele. It is played with a bow and has the characteristic sound and shape of a violin.",genuine,"The instrument is a bowed fiddle/violin, which is fundamentally different in both construction and playing method from a plucked ukulele."
-Gr9P8Abnlk_000110,toilet flushing,,False,False,"[{""label"": ""sliding door"", ""modality"": ""both""}]",both,"The sound heard is the mechanical whirring and air pressure release of a sci-fi sliding door, not a toilet flushing.",genuine,The source of the sound (a mechanical sliding door) is fundamentally different from a toilet flushing.
-HMEhGV38GM_000216,"male speech, man speaking",,False,True,"[{""label"": ""male singing"", ""modality"": ""both""}, {""label"": ""beat boxing"", ""modality"": ""both""}]",,The man is making rhythmic vocalizations and scat singing rather than speaking words or sentences.,genuine,Scat singing and beatboxing are rhythmic musical vocalizations that are fundamentally different from speaking words or sentences.
-HAoExLVs6Q_000380,train horning,,False,False,"[{""label"": ""railroad car  train wagon"", ""modality"": ""both""}, {""label"": ""train wheels squealing"", ""modality"": ""both""}]",both,No train horn is heard or seen in the clip; the primary sounds are the wagons moving and the wheels squealing.,genuine,A train horn is a specific signal event that is entirely absent from the clip.
-HAoExLVs6Q_000380,train whistling,,False,False,"[{""label"": ""railroad car  train wagon"", ""modality"": ""both""}, {""label"": ""train wheels squealing"", ""modality"": ""both""}]",both,No train whistle is present in the audio or video.,genuine,A train whistle is a specific signal event that is entirely absent from the clip.
