id,label,original,modality
-0vPFx-wRRI_000030,male singing,False,AV
-0vPFx-wRRI_000030,people finger snapping,True,AV
-0vPFx-wRRI_000030,people humming,False,-
-0vPFx-wRRI_000030,playing harp,False,-
-M7ZNV6gLo0_000310,bird squawking,True,-
-M7ZNV6gLo0_000310,"female speech, woman speaking",False,A
-M7ZNV6gLo0_000310,"railroad car, train wagon",False,-
-OEJFMpQ-ko_000159,"child speech, kid speaking",False,AV
-OEJFMpQ-ko_000159,"female speech, woman speaking",False,A
-OEJFMpQ-ko_000159,playing darts,True,AV
-Q_UXiwWR_c_000030,car engine starting,False,AV
-Q_UXiwWR_c_000030,car passing by,True,AV
-Q_UXiwWR_c_000030,"engine accelerating, revving, vroom",False,-
-Q_UXiwWR_c_000030,male singing,False,-
-Q_UXiwWR_c_000030,"male speech, man speaking",False,A
-Q_UXiwWR_c_000030,playing drum kit,False,-
-Q_UXiwWR_c_000030,playing synthesizer,False,-
-Q_UXiwWR_c_000030,rapping,False,A
-aK9JKAGme0_000051,"bird chirping, tweeting",False,A
-aK9JKAGme0_000051,canary calling,False,-
-aK9JKAGme0_000051,car engine idling,False,-
-aK9JKAGme0_000051,car engine starting,False,-
-aK9JKAGme0_000051,cheetah chirrup,True,AV
-aK9JKAGme0_000051,"engine accelerating, revving, vroom",False,-
-aK9JKAGme0_000051,people whispering,False,-
-aK9JKAGme0_000051,wind noise,False,-
-nJbGyPg6BY_000060,"female speech, woman speaking",False,AV
-nJbGyPg6BY_000060,"male speech, man speaking",False,AV
-nJbGyPg6BY_000060,people booing,False,-
-nJbGyPg6BY_000060,people cheering,False,-
-nJbGyPg6BY_000060,people clapping,True,A
-nJbGyPg6BY_000060,people crowd,False,-
-nJbGyPg6BY_000060,people whistling,False,-
-zIrltLewfc_000194,"bird chirping, tweeting",False,A
-zIrltLewfc_000194,playing harp,False,-
-zIrltLewfc_000194,warbler chirping,True,-
-zIrltLewfc_000194,wind noise,False,A
-zIrltLewfc_000194,wind rustling leaves,False,V
04QV0Xi5YTk_000030,playing zither,True,AV
0T39A4knSu4_000057,elephant trumpeting,True,AV
0T39A4knSu4_000057,"female speech, woman speaking",False,A
0T39A4knSu4_000057,people screaming,False,-
0T39A4knSu4_000057,playing drum kit,False,-
0T39A4knSu4_000057,playing tambourine,False,-
0UeEkqkZmvo_000160,playing acoustic guitar,False,AV
0UeEkqkZmvo_000160,playing bass guitar,False,-
0UeEkqkZmvo_000160,playing cymbal,False,-
0UeEkqkZmvo_000160,playing drum kit,False,AV
0UeEkqkZmvo_000160,playing electric guitar,False,AV
0UeEkqkZmvo_000160,playing snare drum,False,AV
0UeEkqkZmvo_000160,playing washboard,True,AV
0he6VV5Y9Bg_000030,"bird chirping, tweeting",False,-
0he6VV5Y9Bg_000030,cricket chirping,True,A
0he6VV5Y9Bg_000030,"male speech, man speaking",False,A
0izHOfrwPn4_000180,"bird chirping, tweeting",False,A
0izHOfrwPn4_000180,duck quacking,True,A
0izHOfrwPn4_000180,"male speech, man speaking",False,AV
0izHOfrwPn4_000180,playing drum kit,False,-
0izHOfrwPn4_000180,playing electric guitar,False,-
0izHOfrwPn4_000180,playing piano,False,-
0izHOfrwPn4_000180,playing trumpet,False,A
0kK-PnupAow_000086,opening or closing car doors,True,AV
0kK-PnupAow_000086,wind noise,False,A
0q6GOUn_dhU_000066,orchestra,False,AV
0q6GOUn_dhU_000066,playing castanets,True,AV
0q6GOUn_dhU_000066,playing cello,False,-
0q6GOUn_dhU_000066,playing flute,False,-
0q6GOUn_dhU_000066,playing tambourine,False,-
0q6GOUn_dhU_000066,playing trombone,False,-
0q6GOUn_dhU_000066,"playing violin, fiddle",False,AV
10aBef0Ghkc_000040,playing piano,True,AV
14lBeX_dOHU_000234,"bird chirping, tweeting",False,AV
14lBeX_dOHU_000234,canary calling,True,AV
14lBeX_dOHU_000234,people whispering,False,-
1B-RuZgSqf8_000030,hail,False,-
1B-RuZgSqf8_000030,raining,True,-
1B-RuZgSqf8_000030,splashing water,False,AV
1B-RuZgSqf8_000030,thunder,False,-
1B-RuZgSqf8_000030,wind noise,False,-
1B-RuZgSqf8_000030,wind rustling leaves,False,-
1BivKH8w7Fo_000037,children shouting,False,A
1BivKH8w7Fo_000037,"female speech, woman speaking",False,-
1BivKH8w7Fo_000037,people booing,False,-
1BivKH8w7Fo_000037,people cheering,True,A
1BivKH8w7Fo_000037,people crowd,False,-
1BivKH8w7Fo_000037,people screaming,False,A
1BivKH8w7Fo_000037,people whistling,False,A
1Isq_KJHriU_000016,dog barking,False,-
1Isq_KJHriU_000016,dog baying,True,AV
1Isq_KJHriU_000016,dog bow-wow,False,AV
1Isq_KJHriU_000016,dog growling,False,AV
1Isq_KJHriU_000016,dog whimpering,False,-
1Isq_KJHriU_000016,"female speech, woman speaking",False,A
1Isq_KJHriU_000016,people giggling,False,-
1ON1iLkUPp8_000040,playing bass guitar,False,-
1ON1iLkUPp8_000040,playing glockenspiel,False,-
1ON1iLkUPp8_000040,playing harp,False,-
1ON1iLkUPp8_000040,playing piano,False,-
1ON1iLkUPp8_000040,playing synthesizer,False,-
1ON1iLkUPp8_000040,playing vibraphone,True,A
1UNk699Uqto_000030,"bird chirping, tweeting",False,AV
1UNk699Uqto_000030,bird wings flapping,False,-
1UNk699Uqto_000030,goose honking,True,AV
1bbyaXEVouE_000030,female singing,False,AV
1bbyaXEVouE_000030,fire crackling,True,-
1bbyaXEVouE_000030,singing choir,False,AV
1hrYIADPJ_w_000017,air conditioning noise,True,AV
1hrYIADPJ_w_000017,wind noise,False,A
21lu8Iaf9II_000060,"female speech, woman speaking",False,AV
21lu8Iaf9II_000060,people clapping,False,AV
21lu8Iaf9II_000060,people finger snapping,True,AV
28p0DrP3KgI_000021,chopping wood,False,-
28p0DrP3KgI_000021,electric grinder grinding,True,AV
28p0DrP3KgI_000021,"male speech, man speaking",False,A
28p0DrP3KgI_000021,people giggling,False,-
2BMOGrFU_m8_000167,"bee, wasp, etc. buzzing",False,AV
2BMOGrFU_m8_000167,"bird chirping, tweeting",False,-
2BMOGrFU_m8_000167,cricket chirping,False,A
2BMOGrFU_m8_000167,"fly, housefly buzzing",True,-
2IEoe3YvCJo_000020,cat caterwauling,True,AV
2IEoe3YvCJo_000020,cat growling,False,AV
2IEoe3YvCJo_000020,cat hissing,False,-
2IEoe3YvCJo_000020,cat purring,False,AV
2IEoe3YvCJo_000020,"male speech, man speaking",False,A
2S-YRM0p6cc_000034,coyote howling,True,AV
2S-YRM0p6cc_000034,wind noise,False,-
2f7i-ndrx9g_000060,door slamming,False,-
2f7i-ndrx9g_000060,opening or closing drawers,True,AV
2j9izxhyFlI_000035,"female speech, woman speaking",False,A
2j9izxhyFlI_000035,writing on blackboard with chalk,True,AV
2jKheXvnT6o_000030,cat caterwauling,False,-
2jKheXvnT6o_000030,cat growling,False,-
2jKheXvnT6o_000030,cat hissing,False,-
2jKheXvnT6o_000030,cat meowing,False,AV
2jKheXvnT6o_000030,cat purring,True,AV
2jKheXvnT6o_000030,"female speech, woman speaking",False,A
2rW2I6KmWhw_000030,dog bow-wow,False,AV
2rW2I6KmWhw_000030,dog growling,False,AV
2rW2I6KmWhw_000030,dog howling,True,AV
2rW2I6KmWhw_000030,dog whimpering,False,AV
2rW2I6KmWhw_000030,playing piano,False,A
2rciuzaEEWo_000025,"bird chirping, tweeting",False,-
2rciuzaEEWo_000025,chimpanzee pant-hooting,True,AV
2rciuzaEEWo_000025,chipmunk chirping,False,-
2rciuzaEEWo_000025,cricket chirping,False,-
2rciuzaEEWo_000025,wind noise,False,-
2v1rSA4FqlM_000100,"male speech, man speaking",False,A
2v1rSA4FqlM_000100,playing drum kit,False,-
2v1rSA4FqlM_000100,pumping water,True,AV
2v1rSA4FqlM_000100,sloshing water,False,AV
2v1rSA4FqlM_000100,splashing water,False,AV
2v1rSA4FqlM_000100,squishing water,False,A
3-Pvp6uiMAo_000000,"male speech, man speaking",False,A
3-Pvp6uiMAo_000000,strike lighter,True,-
3-qCp_EP-5Q_000234,"bird chirping, tweeting",False,AV
3-qCp_EP-5Q_000234,male singing,False,-
3-qCp_EP-5Q_000234,parrot talking,True,AV
3-sPbKkiYvI_000532,dog barking,False,AV
3-sPbKkiYvI_000532,"male speech, man speaking",False,A
3-sPbKkiYvI_000532,running electric fan,True,AV
3-sPbKkiYvI_000532,wind noise,False,-
312ti9EH4uY_000450,sea waves,True,AV
312ti9EH4uY_000450,splashing water,False,AV
312ti9EH4uY_000450,spraying water,False,-
312ti9EH4uY_000450,wind noise,False,-
3JZbfcbZaoM_000030,car engine idling,False,-
3JZbfcbZaoM_000030,car engine knocking,True,AV
3NvKtRbbOYU_000310,driving snowmobile,True,AV
3NvKtRbbOYU_000310,"engine accelerating, revving, vroom",False,AV
3eaA8bsLJBA_000042,playing cornet,True,AV
3eaA8bsLJBA_000042,playing piano,False,A
3qtnbifHKXU_000064,playing tuning fork,True,V
4IZKViDklnM_000030,playing drum kit,False,A
4IZKViDklnM_000030,wind rustling leaves,True,-
4Wpbc5bL4ws_000068,eletric blender running,True,-
4Wpbc5bL4ws_000068,people slapping,False,-
4Wpbc5bL4ws_000068,wind noise,False,-
4kkrLlD_7sg_000018,"male speech, man speaking",False,A
4kkrLlD_7sg_000018,playing bugle,True,A
4p8n4Zf-WMM_000190,cricket chirping,False,A
4p8n4Zf-WMM_000190,fireworks banging,False,-
4p8n4Zf-WMM_000190,lighting firecrackers,True,AV
4p8n4Zf-WMM_000190,people cheering,False,A
4p8n4Zf-WMM_000190,wind noise,False,-
4tOFGK47I5E_000005,"bird chirping, tweeting",False,-
4tOFGK47I5E_000005,cattle mooing,False,-
4tOFGK47I5E_000005,cow lowing,True,AV
5-FHy1Q61n8_000114,dog barking,False,AV
5-FHy1Q61n8_000114,dog baying,True,AV
5-FHy1Q61n8_000114,dog bow-wow,False,AV
5-FHy1Q61n8_000114,dog growling,False,AV
5-FHy1Q61n8_000114,dog howling,False,-
5-FHy1Q61n8_000114,dog whimpering,False,AV
53KoRxxr1jc_000030,"female speech, woman speaking",False,A
53KoRxxr1jc_000030,goat bleating,True,-
53KoRxxr1jc_000030,"male speech, man speaking",False,AV
53KoRxxr1jc_000030,people coughing,False,A
53KoRxxr1jc_000030,sheep bleating,False,AV
56_BCN7x6F8_000030,fire crackling,False,-
56_BCN7x6F8_000030,playing didgeridoo,True,AV
5JaMY3ZmbXM_000188,tractor digging,True,AV
5NyjOIjRKKM_000018,dog barking,False,AV
5NyjOIjRKKM_000018,dog baying,False,-
5NyjOIjRKKM_000018,dog bow-wow,True,AV
5NyjOIjRKKM_000018,dog growling,False,AV
5NyjOIjRKKM_000018,dog whimpering,False,-
5NyjOIjRKKM_000018,orchestra,False,-
5NyjOIjRKKM_000018,playing drum kit,False,A
5NyjOIjRKKM_000018,playing flute,False,-
5NyjOIjRKKM_000018,playing trombone,False,-
5NyjOIjRKKM_000018,playing trumpet,False,A
5NyjOIjRKKM_000018,"playing violin, fiddle",False,-
5Q-328ATot8_000019,"bird chirping, tweeting",False,A
5Q-328ATot8_000019,cricket chirping,False,A
5Q-328ATot8_000019,tornado roaring,True,A
5Q-328ATot8_000019,wind noise,False,-
5Q-328ATot8_000019,wind rustling leaves,False,A
5QeFh-ZAf8E_000380,blowtorch igniting,True,AV
5bHACxteut8_000242,eletric blender running,True,AV
5bLzJ_iMl4s_000030,cat growling,False,-
5bLzJ_iMl4s_000030,cat hissing,False,-
5bLzJ_iMl4s_000030,cat meowing,False,-
5bLzJ_iMl4s_000030,cat purring,True,-
5bLzJ_iMl4s_000030,"male speech, man speaking",False,A
5bLzJ_iMl4s_000030,people giggling,False,A
