video_id,label,modality,background_music,static_image,voice_over
---g-f_I2yQ_000001,people marching,AV,True,False,False
--U7joUcTCo_000000,people coughing,AV,False,False,False
--i-y1v8Hy8_000000,female singing,AV,False,False,True
-0BIyqJj9ZU_000030,people belly laughing,AV,False,False,False
-0UuUoXQUoI_000107,playing double bass,AV,False,False,False
-0Zg_dXR_6I_000013,missile launch,AV,False,False,False
-0pJqpNjft4_000267,cattle mooing,AV,False,False,False
-0pJqpNjft4_000267,cow lowing,AV,False,False,False
-0vPFx-wRRI_000030,male singing,AV,False,False,False
-0vPFx-wRRI_000030,people finger snapping,AV,False,False,False
-0vPFx-wRRI_000030,people humming,AV,False,False,False
-1pRmoJIGQc_000010,car engine knocking,A,False,False,False
-23CeprtibU_000030,chainsawing trees,AV,False,False,False
-2Dm0VjW8oM_000001,"pigeon, dove cooing",AV,False,False,False
-2sOH8XovEE_000484,playing table tennis,AV,False,False,True
-3-4qmWSJXU_000030,thunder,A,False,False,False
-3Kv4fdm7Uk_000030,playing steelpan,AV,False,False,False
-3YWuPXHknk_000030,car engine starting,AV,False,False,False
-3b9gwBYXp8_000503,chopping food,AV,True,False,True
-3rHVsIj1M8_000030,wind noise,A,False,False,False
-3z5mFRgbxc_000030,driving buses,AV,False,False,True
-42aitlKedE_000574,striking pool,AV,False,False,True
-4bPiXbovf0_000008,air conditioning noise,A,False,False,False
-4kkGS4-qVM_000010,playing clarinet,A,True,True,False
-4pmCrSdMhg_000030,horse clip-clop,V,True,False,False
-4viN_EoxOA_000000,playing saxophone,A,True,True,False
-5CGQGSFGyg_000060,playing electronic organ,AV,True,False,False
-5z9IXBJefc_000227,playing djembe,AV,False,False,False
-615mGonUqU_000232,baltimore oriole calling,AV,False,False,False
-615mGonUqU_000232,"bird chirping, tweeting",AV,False,False,False
-6u76q0L5o8_000067,civil defense siren,A,False,False,False
-79qo5MUYBk_000207,train whistling,A,False,False,False
-7TanrCbmME_000030,child singing,AV,True,False,False
-7YESdyyHVw_000010,"cattle, bovinae cowbell",A,False,False,False
-7sg--aJdrc_000039,gibbon howling,V,True,False,True
-7sg--aJdrc_000049,gibbon howling,A,False,False,False
-8C-gydUbR8_000030,male singing,AV,False,False,False
-8cgbhIR_pw_000030,playing acoustic guitar,AV,False,False,False
-8pCMgGKZY8_000012,dog barking,AV,True,False,True
-8pCMgGKZY8_000012,dog bow-wow,AV,True,False,True
-A1o1Egi20c_000060,church bell ringing,A,True,True,False
-ABOfhcXwt8_000017,people running,V,False,False,False
-AMsYmKRnWE_000008,"bird chirping, tweeting",AV,False,False,False
-AMsYmKRnWE_000008,wood thrush calling,AV,False,False,False
-ANxUxvGASw_000010,"subway, metro, underground",AV,False,False,False
-Am9MfJ6Z2o_000060,eating with cutlery,AV,False,False,True
-Am9MfJ6Z2o_000060,people eating,AV,False,False,True
-BftHoV-kXI_000168,underwater bubbling,AV,False,False,False
-By6I234TSs_000010,playing synthesizer,AV,False,False,False
-ByoSbgzr4M_000000,tapping guitar,AV,False,False,False
-COelgvUEW4_000016,female singing,AV,True,False,False
-CZ1LIc8aos_000020,car passing by,AV,False,False,False
-Cr0WQoFQQs_000045,elk bugling,AV,False,False,False
-Cv3gOXEoxA_000040,fox barking,AV,False,False,False
-DwwSHC2jLs_000102,playing double bass,AV,False,False,False
-E5o64ACjm0_000017,lathe spinning,AV,False,False,False
-FoTxwPOz3U_000000,"child speech, kid speaking",AV,False,False,True
-G04QpzSpbU_000020,cat purring,A,False,False,False
-GLVzwHQwtw_000069,mosquito buzzing,V,False,False,True
-GOaBCyC5Js_000087,playing cornet,AV,False,False,False
-GOaBCyC5Js_000113,playing cornet,AV,False,False,False
-GW1J75oAKU_000304,"playing violin, fiddle",AV,False,False,False
-Gr9P8Abnlk_000110,toilet flushing,A,False,False,False
-HAoExLVs6Q_000380,"railroad car, train wagon",AV,False,False,False
-HMEhGV38GM_000216,playing congas,AV,True,True,True
-Hwec_jA5bI_000044,squishing water,AV,False,False,False
-IKnJa9U66I_000150,using sewing machines,AV,False,False,True
-IZbvEO9wzU_000030,female singing,A,True,True,False
-Igq1W20Gi8_000000,people whistling,AV,False,False,False
-JJmkQYZA-4_000020,chicken crowing,AV,False,True,False
