video_id,label,modality
-0Zg_dXR_6I_000013,,
-0pJqpNjft4_000267,,
--U7joUcTCo_000000,,
-0pJqpNjft4_000267,,
-0Zg_dXR_6I_000013,,
-0Zg_dXR_6I_000013,,
-0pJqpNjft4_000267,,
--U7joUcTCo_000000,,
-2sE5CH8Wb8_000030,,
-3-4qmWSJXU_000030,,
-2xiZDEuHd8_000030,,
-3-4qmWSJXU_000030,,
-2sE5CH8Wb8_000030,,
--U7joUcTCo_000000,,
-0pJqpNjft4_000267,,
-0Zg_dXR_6I_000013,,
-0Zg_dXR_6I_000013,fire crackling,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0pJqpNjft4_000267,car engine starting,A
-0pJqpNjft4_000267,cattle mooing,AV
-0pJqpNjft4_000267,cow lowing,AV
-0pJqpNjft4_000267,people whistling,A
-0pJqpNjft4_000267,wind noise,A
-0pJqpNjft4_000267,wind rustling leaves,A
--U7joUcTCo_000000,people belly laughing,AV
--U7joUcTCo_000000,people coughing,AV
--U7joUcTCo_000000,people sniggering,AV
-2sE5CH8Wb8_000030,,
-0Zg_dXR_6I_000013,,
-0Zg_dXR_6I_000013,fire crackling,A
-0Zg_dXR_6I_000013,missile launch,AV
-0Zg_dXR_6I_000013,wind noise,A
-0pJqpNjft4_000267,car engine starting,A
-0pJqpNjft4_000267,cattle mooing,AV
-0pJqpNjft4_000267,cow lowing,AV
-0pJqpNjft4_000267,people whistling,A
-0pJqpNjft4_000267,wind noise,A
-0pJqpNjft4_000267,wind rustling leaves,A
--U7joUcTCo_000000,people belly laughing,AV
--U7joUcTCo_000000,people coughing,AV
--U7joUcTCo_000000,people sniggering,AV
-2sE5CH8Wb8_000030,,
-3-4qmWSJXU_000030,raining,AV
-3-4qmWSJXU_000030,thunder,A
-3-4qmWSJXU_000030,wind noise,AV
-2xiZDEuHd8_000030,,
-3-4qmWSJXU_000030,raining,AV
-3-4qmWSJXU_000030,thunder,A
-3-4qmWSJXU_000030,wind noise,AV
-2xiZDEuHd8_000030,"child speech, kid speaking",A
-2xiZDEuHd8_000030,people burping,A
-2xiZDEuHd8_000030,pig oinking,AV
